,Date,USD,EUR
1004,2010-01-05,0.9133,0.6334
1005,2010-01-06,0.9138,0.6366
1006,2010-01-07,0.9225,0.6406
1007,2010-01-08,0.9154,0.6396
1008,2010-01-11,0.9309,0.642
1009,2010-01-12,0.9272,0.6402
1010,2010-01-13,0.9238,0.6376
1011,2010-01-14,0.9296,0.6396
1012,2010-01-15,0.9272,0.6431
1013,2010-01-18,0.9224,0.6417
1014,2010-01-19,0.9237,0.6417
1015,2010-01-20,0.9174,0.6455
1016,2010-01-21,0.9136,0.6481
1017,2010-01-22,0.9029,0.6391
1018,2010-01-25,0.9069,0.6401
1019,2010-01-27,0.902,0.6408
1020,2010-01-28,0.901,0.6429
1021,2010-01-29,0.8909,0.6395
1022,2010-02-01,0.8831,0.6362
1023,2010-02-02,0.8802,0.6325
1024,2010-02-03,0.8849,0.6341
1025,2010-02-04,0.8805,0.634
1026,2010-02-05,0.8675,0.6327
1027,2010-02-08,0.8662,0.6348
1028,2010-02-09,0.8678,0.6338
1029,2010-02-10,0.8751,0.6363
1030,2010-02-11,0.8886,0.6443
1031,2010-02-12,0.889,0.6503
1032,2010-02-15,0.8874,0.6521
1033,2010-02-16,0.8937,0.655
1034,2010-02-17,0.9016,0.6543
1035,2010-02-18,0.8954,0.6598
1036,2010-02-19,0.8909,0.6608
1037,2010-02-22,0.9012,0.6608
1038,2010-02-23,0.9011,0.6613
1039,2010-02-24,0.893,0.6595
1040,2010-02-25,0.8883,0.6594
1041,2010-02-26,0.8899,0.6551
1042,2010-03-01,0.8975,0.6597
1043,2010-03-02,0.8988,0.6641
1044,2010-03-03,0.905,0.6636
1045,2010-03-04,0.9021,0.6594
1046,2010-03-05,0.9007,0.6627
1047,2010-03-08,0.9112,0.6661
1048,2010-03-09,0.9094,0.6677
1049,2010-03-10,0.9158,0.6734
1050,2010-03-11,0.9143,0.6702
1051,2010-03-12,0.9159,0.6689
1052,2010-03-15,0.9138,0.6653
1053,2010-03-16,0.9152,0.6681
1054,2010-03-17,0.9189,0.6665
1055,2010-03-18,0.922,0.6728
1056,2010-03-19,0.9215,0.6767
1057,2010-03-22,0.9145,0.6764
1058,2010-03-23,0.9176,0.6769
1059,2010-03-24,0.9175,0.6822
1060,2010-03-25,0.9115,0.6838
1061,2010-03-26,0.9102,0.6826
1062,2010-03-29,0.9082,0.6761
1063,2010-03-30,0.9188,0.6811
1064,2010-03-31,0.9159,0.6827
1065,2010-04-01,0.9164,0.6786
1066,2010-04-06,0.9225,0.6869
1067,2010-04-07,0.9266,0.6934
1068,2010-04-08,0.9275,0.6955
1069,2010-04-09,0.9275,0.6947
1070,2010-04-12,0.9323,0.6824
1071,2010-04-13,0.9246,0.6805
1072,2010-04-14,0.9324,0.6828
1073,2010-04-15,0.9341,0.6848
1074,2010-04-16,0.9304,0.6877
