Date,neg,neu,pos,compound
2017-01-01,0.0,0.94118,0.0,0.0
2017-01-02,0.01113,0.7862,0.136,0.1952
2017-01-03,0.079,0.81865,0.059,-0.05564
2017-01-04,0.02629,0.84724,0.06765,0.11594
2017-01-05,0.0,0.92935,0.02717,0.05802
2017-01-06,0.06171,0.79543,0.0,-0.08457
2017-01-07,0.03029,0.67214,0.15471,0.19541
2017-01-08,0.0,0.75,0.0,0.0
2017-01-09,0.14738,0.65912,0.0685,-0.10902
2017-01-10,0.022,0.6625,0.19062,0.2794
2017-01-11,0.0,0.8085,0.0665,0.17012
2017-01-12,0.07156,0.79022,0.02711,-0.08588
2017-01-13,0.02188,0.81238,0.04075,0.03281
2017-01-14,0.05129,0.62929,0.03386,-0.05159
2017-01-15,0.0,0.46733,0.19933,0.3734
2017-01-16,0.055,0.65757,0.14457,0.17721
2017-01-17,0.0198,0.8356,0.0446,0.05886
2017-01-18,0.01933,0.86956,0.0,-0.03036
2017-01-19,0.0,0.75575,0.11925,0.23606
2017-01-20,0.0,0.82186,0.03529,0.04546
2017-01-21,0.0,0.66667,0.0,0.0
2017-01-22,0.08117,0.75217,0.0,-0.09765
2017-01-23,0.0444,0.6198,0.1358,0.16566
2017-01-24,0.0962,0.61,0.0938,0.04376
2017-01-25,0.05082,0.77436,0.08391,0.06885
2017-01-26,0.01933,0.72122,0.14833,0.24101
2017-01-27,0.04462,0.66225,0.16812,0.2173
2017-01-28,0.0,0.8,0.0,0.0
2017-01-29,0.03929,0.76286,0.055,0.01196
2017-01-30,0.15886,0.647,0.05129,-0.20391
2017-01-31,0.0526,0.6854,0.062,0.03924
2017-02-01,0.025,0.77625,0.07375,0.11768
2017-02-02,0.0,0.745,0.14389,0.19126
2017-02-03,0.06233,0.52033,0.084,0.08457
2017-02-04,0.09433,0.739,0.0,-0.14672
2017-02-05,0.0,0.5616,0.2384,0.205
2017-02-06,0.029,0.7282,0.0428,0.03256
2017-02-07,0.1122,0.6792,0.1087,-0.01896
2017-02-08,0.05,0.614,0.19314,0.21047
2017-02-09,0.02271,0.747,0.08743,0.1234
2017-02-10,0.0472,0.697,0.0558,0.01188
2017-02-11,0.0,0.686,0.17114,0.29866
2017-02-12,0.03688,0.80012,0.038,-0.00354
2017-02-13,0.0,0.65625,0.09375,0.21548
