,Date,Price
0,2014-10-17,2.63
1,2014-10-24,2.7
2,2014-10-31,2.72
3,2014-11-07,2.79
4,2014-11-14,3.02
5,2014-11-21,2.85
6,2014-11-28,3.12
7,2014-12-05,3.15
8,2014-12-12,3.13
9,2014-12-19,3.07
10,2014-12-26,3.12
11,2015-01-02,3.08
12,2015-01-09,3.24
13,2015-01-16,3.32
14,2015-01-23,3.37
15,2015-01-30,3.27
16,2015-02-06,3.3
17,2015-02-13,3.4
18,2015-02-20,2.96
19,2015-02-27,3.19
20,2015-03-05,3.04
21,2015-03-13,3.28
22,2015-03-20,3.28
23,2015-03-27,3.29
24,2015-04-03,3.25
25,2015-04-10,3.33
26,2015-04-17,3.33
27,2015-04-24,3.45
28,2015-04-30,3.48
29,2015-05-08,3.49
30,2015-05-15,3.57
31,2015-05-22,3.37
32,2015-05-29,3.49
33,2015-06-05,3.53
34,2015-06-12,3.85
35,2015-06-19,3.59
36,2015-06-26,3.57
37,2015-07-03,3.62
38,2015-07-10,3.69
39,2015-07-17,3.7
40,2015-07-24,3.95
41,2015-07-31,4.24
42,2015-08-07,4.2
43,2015-08-14,4.3
44,2015-08-21,4.21
45,2015-08-27,4.19
46,2015-09-04,4.28
47,2015-09-11,4.15
48,2015-09-18,3.88
49,2015-09-25,3.75
50,2015-10-01,3.88
51,2015-10-09,3.74
52,2015-10-16,3.88
53,2015-10-22,3.82
54,2015-10-30,3.59
55,2015-11-06,3.37
56,2015-11-13,3.26
57,2015-11-20,3.03
58,2015-11-27,2.94
59,2015-12-04,2.98
60,2015-12-11,3.04
61,2015-12-24,3.3
62,2016-01-01,3.21
63,2016-01-08,3.23
64,2016-01-15,3.29
65,2016-01-22,3.33
66,2016-01-29,3.39
67,2016-02-05,3.4
68,2016-02-12,3.34
69,2016-02-19,3.29
70,2016-02-26,3.26
71,2016-03-04,3.32
72,2016-03-11,3.22
73,2016-03-17,3.21
74,2016-03-25,3.27
75,2016-04-01,3.19
76,2016-04-08,3.22
77,2016-04-15,3.15
78,2016-04-22,3.05
79,2016-04-29,3.1
80,2016-05-06,3.02
81,2016-05-13,3.01
82,2016-05-20,2.94
83,2016-05-27,2.91
84,2016-06-03,2.96
85,2016-06-10,3.05
86,2016-06-17,3.01
87,2016-06-24,3.1
88,2016-07-01,3.06
89,2016-07-08,3.08
90,2016-07-15,3.1
91,2016-07-22,3.16
92,2016-07-29,3.25
93,2016-08-05,3.15
94,2016-08-12,3.12
95,2016-08-19,3.11
96,2016-08-26,3.17
97,2016-09-02,3.19
98,2016-09-09,3.18
99,2016-09-16,3.21
