date,time,latitude,longitude,sat_altitude,bar_altitude,distance,speed,pressure,temperature,voltage
4/12/2024,12:00:00,49.200059,12.03219,377,374,51582,0.4,990.38,20,3.97
4/12/2024,12:00:01,49.20005,12.03221,376,375,51582,6.6,990.36,20,3.98
4/12/2024,12:00:02,49.200051,12.032204,377,374,51582,0.9,990.37,20,3.97
4/12/2024,12:00:03,49.200051,12.032207,378,375,51582,0.3,990.35,20,3.98
4/12/2024,12:00:04,49.20005,12.032207,379,375,51582,0.4,990.36,20.1,3.98
4/12/2024,12:00:05,49.200046,12.032205,380,375,51582,0.1,990.29,20,3.98
4/12/2024,12:00:06,49.200044,12.032203,381,375,51582,0.1,990.35,20.1,3.97
4/12/2024,12:00:07,49.20004,12.032202,382,375,51582,0.1,990.34,20.1,3.98
4/12/2024,12:00:08,49.200039,12.0322,383,375,51582,0.9,990.37,20.1,3.98
4/12/2024,12:00:09,49.200039,12.0322,383,374,51582,0.2,990.39,20.1,3.97
4/12/2024,12:00:10,49.200037,12.032196,384,375,51582,0.1,990.36,20.1,3.98
4/12/2024,12:00:11,49.200037,12.032192,384,375,51582,0.3,990.37,20.1,3.98
4/12/2024,12:00:12,49.200036,12.032187,385,375,51582,0.4,990.36,20.1,3.98
4/12/2024,12:00:13,49.200036,12.032185,385,375,51582,0.2,990.34,20.1,3.98
4/12/2024,12:00:14,49.200038,12.032184,385,375,51582,0.4,990.36,20.2,3.98
4/12/2024,12:00:15,49.20004,12.032181,385,375,51582,0.8,990.36,20.2,3.97
4/12/2024,12:00:16,49.200041,12.03218,385,375,51582,0.3,990.37,20.2,3.98
4/12/2024,12:00:17,49.200043,12.032181,384,375,51582,0.2,990.36,20.2,3.98
4/12/2024,12:00:18,49.200042,12.032184,383,374,51582,0.2,990.42,20.2,3.97
4/12/2024,12:00:19,49.200043,12.032187,383,374,51582,0.4,990.46,20.2,3.98
4/12/2024,12:00:20,49.200041,12.032192,383,375,51582,0.3,990.36,20.2,3.99
4/12/2024,12:00:21,49.200044,12.032193,382,374,51582,0.3,990.4,20.3,3.98
4/12/2024,12:00:22,49.200044,12.032192,383,374,51582,0.1,990.4,20.3,3.97
4/12/2024,12:00:23,49.200044,12.032191,383,374,51582,0.6,990.38,20.3,3.97
4/12/2024,12:00:24,49.200045,12.032191,383,374,51582,0.3,990.4,20.3,3.98
4/12/2024,12:00:25,49.20005,12.032192,382,374,51582,0.9,990.39,20.3,3.97
4/12/2024,12:00:26,49.200051,12.032195,382,375,51582,0.5,990.33,20.3,3.98
4/12/2024,12:00:27,49.200053,12.032197,382,374,51582,0.4,990.39,20.3,3.98
4/12/2024,12:00:28,49.200055,12.032194,382,374,51582,0.2,990.37,20.3,3.98
4/12/2024,12:00:29,49.200053,12.032189,383,375,51582,0.2,990.32,20.3,3.98
4/12/2024,12:00:30,49.200052,12.032187,383,374,51582,0.3,990.37,20.4,3.98
4/12/2024,12:00:31,49.20005,12.032184,384,374,51582,0.1,990.4,20.4,3.98
4/12/2024,12:00:32,49.200053,12.032179,384,374,51582,0.1,990.39,20.4,3.98
4/12/2024,12:00:33,49.200055,12.032175,383,374,51582,0.1,990.37,20.4,3.98
4/12/2024,12:00:34,49.200053,12.032177,383,375,51582,0.1,990.33,20.4,3.98
